DRL Results (n=50, 1000 instances)
Checkpoint: outputs/agh_50/train_raw_50_200ep_20260228T162007/epoch-199.pt
Val dataset: paretofront/shared_test_50.pkl

    l1     l2      f1_mean     f1_std      f2_mean     f2_std

   0.0    1.0      3760.82     303.82         2.96      11.16
   0.0    1.0      3732.89     301.57         3.52      12.18
   0.0    1.0      3702.17     297.59         4.23      13.23
   0.0    1.0      3672.67     297.96         4.67      14.05
   0.0    1.0      3642.85     296.11         5.21      14.44
   0.1    0.9      3610.97     292.51         5.99      15.77
   0.1    0.9      3580.59     289.01         6.66      16.79
   0.1    0.9      3547.16     284.70         7.45      17.35
   0.1    0.9      3514.28     284.59         8.75      19.23
   0.1    0.9      3479.94     278.32         9.88      20.30
   0.1    0.9      3435.55     273.59        11.66      21.47
   0.1    0.9      3390.61     269.34        13.53      23.22
   0.1    0.9      3345.03     261.85        15.72      24.42
   0.1    0.9      3298.70     257.70        18.29      25.73
   0.1    0.9      3260.20     252.28        20.97      26.94
   0.1    0.8      3221.94     247.98        23.54      28.48
   0.2    0.8      3191.74     242.86        25.71      29.50
   0.2    0.8      3163.62     242.50        28.79      31.65
   0.2    0.8      3136.91     239.76        32.11      33.04
   0.2    0.8      3109.77     236.37        35.61      34.33
   0.2    0.8      3086.49     231.82        38.63      36.06
   0.2    0.8      3065.11     231.56        40.80      35.99
   0.2    0.8      3044.80     231.29        43.89      37.33
   0.2    0.8      3023.54     229.19        47.34      38.82
   0.2    0.8      3005.07     227.67        50.61      40.43
   0.2    0.8      2986.84     224.96        54.16      41.77
   0.3    0.7      2968.17     222.08        58.01      43.29
   0.3    0.7      2952.50     220.56        61.55      45.19
   0.3    0.7      2935.91     220.67        65.37      47.12
   0.3    0.7      2921.40     219.60        68.71      47.76
   0.3    0.7      2906.98     220.23        72.41      49.04
   0.3    0.7      2894.48     218.79        75.55      50.57
   0.3    0.7      2884.07     216.68        79.52      52.38
   0.3    0.7      2872.96     216.74        82.91      54.44
   0.3    0.7      2862.41     215.08        86.47      55.48
   0.3    0.7      2853.15     215.32        89.81      56.96
   0.4    0.6      2844.67     213.12        92.00      57.71
   0.4    0.6      2834.55     212.20        95.14      58.68
   0.4    0.6      2824.47     209.86        98.98      59.86
   0.4    0.6      2816.99     209.42       100.87      59.74
   0.4    0.6      2810.74     208.84       103.84      60.47
   0.4    0.6      2804.21     208.66       106.79      62.04
   0.4    0.6      2797.71     209.08       110.33      64.24
   0.4    0.6      2791.02     206.99       114.03      66.08
   0.4    0.6      2785.55     205.59       116.63      66.59
   0.5    0.6      2780.07     204.78       119.08      67.14
   0.5    0.5      2775.46     205.28       121.01      67.09
   0.5    0.5      2771.64     205.51       123.40      67.93
   0.5    0.5      2767.43     204.75       126.27      68.34
   0.5    0.5      2762.68     204.43       128.60      69.02
   0.5    0.5      2758.74     204.79       131.66      70.82
   0.5    0.5      2754.60     204.70       134.53      72.57
   0.5    0.5      2751.30     204.74       136.99      73.81
   0.5    0.5      2747.51     204.87       140.21      76.06
   0.5    0.5      2743.94     205.23       142.66      77.26
   0.6    0.5      2741.22     205.63       144.72      77.35
   0.6    0.4      2739.37     205.73       147.32      77.79
   0.6    0.4      2737.25     205.94       150.14      78.57
   0.6    0.4      2734.31     205.51       151.88      78.77
   0.6    0.4      2732.68     205.86       154.25      79.30
   0.6    0.4      2730.31     206.98       156.60      79.60
   0.6    0.4      2728.56     206.53       157.98      79.01
   0.6    0.4      2727.12     206.41       159.39      79.48
   0.6    0.4      2726.14     207.24       160.95      79.67
   0.6    0.4      2725.03     206.40       161.87      79.57
   0.7    0.3      2724.35     206.26       163.34      80.57
   0.7    0.3      2723.65     206.03       165.25      81.92
   0.7    0.3      2722.72     206.01       166.94      82.49
   0.7    0.3      2721.97     206.10       167.77      82.39
   0.7    0.3      2720.53     205.78       169.55      83.41
   0.7    0.3      2719.03     204.96       170.49      84.08
   0.7    0.3      2717.79     205.16       171.83      85.29
   0.7    0.3      2716.39     205.74       173.52      86.32
   0.7    0.3      2715.94     205.68       174.18      86.33
   0.7    0.3      2715.71     205.62       175.79      86.63
   0.8    0.2      2715.19     205.75       177.06      86.74
   0.8    0.2      2714.90     206.06       178.41      86.72
   0.8    0.2      2714.89     205.91       178.54      86.33
   0.8    0.2      2714.47     205.45       179.51      86.86
   0.8    0.2      2714.00     205.61       180.17      87.27
   0.8    0.2      2712.93     206.65       180.98      87.10
   0.8    0.2      2713.27     206.66       181.26      86.94
   0.8    0.2      2713.13     206.67       182.01      87.69
   0.8    0.2      2712.66     206.41       182.84      87.54
   0.8    0.2      2712.66     206.39       183.34      87.86
   0.8    0.1      2712.68     206.16       184.01      87.89
   0.9    0.1      2713.00     206.67       185.08      88.27
   0.9    0.1      2712.89     206.53       185.93      87.79
   0.9    0.1      2712.99     206.57       186.72      87.86
   0.9    0.1      2712.74     206.58       187.60      88.07
   0.9    0.1      2713.01     206.73       188.36      88.81
   0.9    0.1      2712.58     206.22       189.58      89.25
   0.9    0.1      2712.80     205.97       189.83      89.49
   0.9    0.1      2712.21     206.79       190.55      89.92
   0.9    0.1      2711.97     207.06       191.12      90.35
   0.9    0.1      2711.45     207.48       192.47      91.02
   1.0    0.0      2711.87     207.18       192.50      90.70
   1.0    0.0      2712.05     207.63       192.98      90.97
   1.0    0.0      2712.45     208.05       193.73      90.68
   1.0    0.0      2712.73     208.40       194.88      91.51
   1.0    0.0      2712.87     208.18       195.38      91.36
